gene,h4_mean,h24_mean,h48_mean,h72_mean,d7_mean,d21_mean,d28_mean
#N/A,154.6331353,141.2952882,129.5544145,168.9257783,149.1324694,108.9961264,133.4155177
Scn9a,62.25163052,63.42354776,52.99265915,67.96719022,55.48219184,44.43862333,54.30446229
Syt11,243.0340197,234.7039872,246.4960381,210.1426463,174.7099795,264.5522247,163.633998
Cdc5l,175.0621529,224.5208533,217.643429,276.6689524,326.8464249,197.7076358,303.9566683
AABR07018115.1,28.15573473,24.31859023,23.44732718,22.53954119,20.86053888,21.47488914,23.12284702
#N/A,124.1374687,93.74110033,77.70844967,75.54149143,72.33099515,90.90503906,86.90209431
#N/A,242.3502746,215.1452697,151.4940141,147.427433,151.6823084,189.5732842,193.062447
#N/A,84.0369558,61.4039713,64.6741289,55.36448025,51.93455722,74.53551812,59.32222639
Nup58,49.28298736,36.69384353,44.73916191,37.11752265,33.25038717,41.99896219,36.08230417
Nup58,28.01188322,21.39343802,17.33406866,17.3007805,18.19465058,20.52222372,20.58214968
Id3,361.0608315,431.2712325,678.3026041,456.999043,554.7710849,636.1174752,712.0162785
Gtf2a1,161.8602118,121.4118278,157.5666534,111.8618366,107.4071392,156.9370121,128.1361191
Kcnn1,273.229658,207.2840171,271.9264334,183.5757672,192.1640941,287.3131919,214.642607
Klf6,976.6102839,1086.623466,864.8109334,655.786222,633.2826411,704.0384293,671.1858662
