gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes
ADRM1,1.058026,0.538024,4.829716667,0.539462333
ADSL,3.73920525,2.89067,2.414005,3.2236875
ADSS,2.639213,3.636515,1.179749667,1.706403167
ADSSL1,0.462138,1.32185175,0.093954017,0.705423167
ADTRP,0.08762785,0.10285975,0.1,0.1
AEBP1,6.4726105,0.990381,3.376928833,2.099871833
AEBP2,2.934975,2.452855,4.777023333,1.852026667
AEN,1.0482973,0.268985725,0.636661667,0.20382625
AES,2.954565,2.364385,7.085166667,2.553976667
AFAP1,2.3023,1.71513125,2.022584833,0.305576667
AFAP1-AS1,0.17031425,0.144044,0.385506833,0.103219583
AFAP1L1,3.047499,0.27505625,0.250201667,0.12622175
AFAP1L2,0.72040375,4.7268675,0.153281833,0.22482
AFF1,4.8260225,5.5003875,3.770126667,7.245576667
AFF2,0.07713635,0.16555165,5.31598,0.157124833
AFF3,0.82979975,0.90873525,5.003926667,0.92579975
AFF4,17.06124,17.640375,25.00336667,12.75175167
AFG3L1P,0.37116,0.44726675,1.777078333,0.657284417
AFG3L2,3.09243275,3.109925,3.018586667,3.961144167
AFM,0.1,0.1,0.1,0.1
AFMID,0.69467,7.8693225,0.938681667,0.518948167
AFP,0.1,0.094934175,0.1,0.1
AFTPH,5.38051475,5.2502475,5.550885,4.752061667
AGA,4.08564,3.9108575,0.659003667,2.890385833
AGAP1,2.99119675,7.25026,1.732603333,1.319838583
AGAP11,0.3780454,0.536740325,0.9533385,0.814835667
AGAP2,0.165033975,0.2775035,0.535739167,0.105668833
AGAP3,0.74201975,1.1991685,1.728341667,0.702005417
AGAP4,0.676302,0.90423725,2.421566667,1.198905083
AGAP5,0.68757475,0.902781,1.3257275,0.996890833
AGAP6,1.16802375,1.8985175,4.071637833,1.929503333
AGAP7,0.41407075,0.67531825,1.796634333,0.718266083
AGAP8,0.64357525,0.909446,2.020868667,1.112417917
AGAP9,0.6140206,0.81557,2.047051,0.984294667
AGAP9,0.7128725,0.64469925,1.934067833,0.781743583
AGBL1,0.1,0.112494,0.7469905,0.1174505
AGBL2,0.59926525,0.087294425,0.759579,0.2193705
AGBL3,0.18821575,0.22345475,0.1253125,0.168814167
AGBL4,0.11546255,0.2832381,0.306023,0.379670917
AGBL5,1.2802725,0.52418225,1.35132,0.597886
AGER,0.05436985,0.056715675,0.09284925,0.1
AGER,0.05436985,0.056715675,0.154682417,0.1
AGER,0.054097825,0.056715675,0.18797525,0.1
AGER,0.05436985,0.054291475,0.18797525,0.1
AGER,0.05436985,0.05245465,0.18797525,0.1
AGER,0.05436985,0.072190175,0.18797525,0.1
AGER,0.05436985,0.054291475,0.18797525,0.1
AGFG1,5.4506475,7.383465,5.038828333,4.308889167
AGFG2,1.3044545,0.80484675,0.786200833,1.172033083
AGGF1,9.075975,3.5385825,4.103143333,4.86829
AGK,5.02177,3.090445,3.400809167,3.6195625
AGL,2.1905825,4.2031125,1.978714,7.101283333
AGMAT,0.1,0.1,0.1,0.1
AGMO,3.6282272,1.0486365,0.097823767,0.274060083
AGPAT1,1.2438955,0.964925,0.7987055,1.107345
AGPAT1,1.37142225,0.96513625,0.9253615,1.130222
AGPAT1,1.16760075,0.93654375,0.945068167,1.00363125
AGPAT1,1.32050475,0.96748975,1.038313167,1.050199417
AGPAT1,1.2804645,0.960743,1.041359833,1.02405425
AGPAT1,1.293565,1.07954975,0.933704833,1.03985425
AGPAT1,1.43612425,0.99528125,1.271103167,1.13459625
AGPAT2,0.1334975,0.1247835,0.1,0.1
AGPAT3,1.8702175,3.048275,1.404073333,4.726479167
AGPAT4,1.2345885,9.6046725,5.987088333,0.247039333
AGPAT4-IT1,0.344204325,2.039435,1.667638333,0.10324
AGPAT5,7.712125,3.38595,4.088738333,4.844885
AGPAT6,0.888741,1.1488375,0.878113167,0.588629083
AGPAT9,0.195890375,0.45370055,0.2355795,0.112753333
AGPHD1,0.51192925,0.68401175,0.235394667,2.183709917
AGPS,2.2849125,3.1210875,2.1883485,2.310483333
AGR2,0.1,0.1,0.1,0.1
AGR3,0.11328725,0.1,0.1,0.1
AGRN,0.2332765,0.243086,0.806814,0.18098775
AGRP,0.1,0.1,0.1129375,0.1
AGSK1,0.1,0.1,0.214063667,0.1
AGSK1,0.1,0.1,0.274118833,0.1
AGSK1,0.1,0.1,0.323337667,0.1
AGT,15.661825,27.0118525,2.139675,79.51860833
AGTPBP1,1.614635,13.1542,2.69682,4.648181667
AGTR1,0.287660475,0.178291375,0.1,0.11095825
AGTR2,0.1,0.1,0.1,0.1
AGTRAP,1.929165,0.21954575,0.154896167,0.57002525
AGXT,0.1,0.1,0.1,0.1
AGXT2,0.1,0.08511175,0.1,0.1
AGXT2L1,28.14867925,93.8347,0.120002833,238.6415
AGXT2L2,0.47251825,1.3468185,0.747740333,0.527027583
AHCTF1,4.8763225,3.9294625,4.694246667,4.139973333
AHCY,4.6998025,3.0511575,1.831261667,2.216253083
AHCYL1,113.688975,95.509975,14.68867167,252.552
AHCYL2,16.6245225,13.1371825,5.7950785,44.4348
AHDC1,0.172506,0.2781666,0.834973333,0.307888917
AHI1,4.2390225,7.7420275,11.39825333,4.9432475
AHNAK,7.0358275,6.08416,3.703278333,16.88915917
AHNAK2,1.0288155,0.103870375,0.117542333,0.188012083
AHR,14.1560875,6.7936205,1.0291205,0.249287333
AHRR,0.1,0.1,0.148261167,0.1
AHSA1,5.4465975,14.3118775,8.807991667,8.582818333
AHSA2,2.57476,7.6056625,3.616655,3.349384167
AHSG,0.1,0.1,0.089352533,0.1
AHSP,0.1,0.1,0.1,0.1
AICDA,0.1,0.1,0.1,0.1
AIDA,8.1742625,4.6559175,4.291911667,5.264689167
